order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
9996,2025-08-18T05:40:38,2025-08-18,1597,45,Retail,PAYPAL,,3.01,AUD
9997,2025-08-18T12:57:59,2025-08-18,1467,4,Retail,PAYPAL,COUPON752,5.77,AUD
9998,2025-08-18T02:55:48,2025-08-18,802,23,Retail,PAYPAL,COUPON641,13.61,AUD
9999,2025-08-18T11:49:08,2025-08-18,324,33,Retail,AFTERPAY,,7.95,AUD
10000,2025-08-18T21:29:07,2025-08-18,728,95,Retail,PAYPAL,,23.30,AUD
10001,2025-08-18T17:38:47,2025-08-18,310,41,Retail,AFTERPAY,,10.78,AUD
10002,2025-08-18T11:38:27,2025-08-18,1566,51,Retail,PAYPAL,,13.31,AUD
10003,2025-08-18T16:12:46,2025-08-18,617,49,Retail,PAYPAL,,14.56,AUD
10004,2025-08-18T09:54:24,2025-08-18,1565,86,Retail,AFTERPAY,COUPON577,9.78,AUD
10005,2025-08-18T20:39:11,2025-08-18,396,100,Retail,CARD,COUPON177,14.44,AUD
10006,2025-08-18T19:15:30,2025-08-18,938,32,Retail,AFTERPAY,,7.44,AUD
10007,2025-08-18T09:35:55,2025-08-18,620,61,Retail,CASH,,8.20,AUD
10008,2025-08-18T01:49:42,2025-08-18,1410,38,Retail,AFTERPAY,,7.24,AUD
10009,2025-08-18T06:30:29,2025-08-18,1272,42,Retail,CARD,,11.19,AUD
10010,2025-08-18T02:17:16,2025-08-18,944,35,Retail,PAYPAL,,9.85,AUD
10011,2025-08-18T05:07:48,2025-08-18,1470,5,Retail,PAYPAL,,16.66,AUD
10012,2025-08-18T00:57:27,2025-08-18,248,59,Retail,CASH,COUPON472,15.27,AUD
10013,2025-08-18T14:29:02,2025-08-18,352,21,Retail,CARD,,10.97,AUD
10014,2025-08-18T10:37:03,2025-08-18,1399,10,Retail,AFTERPAY,,16.40,AUD
10015,2025-08-18T01:35:51,2025-08-18,1482,11,Retail,PAYPAL,,13.65,AUD
10016,2025-08-18T12:55:14,2025-08-18,1594,65,Retail,CASH,,8.17,AUD
10017,2025-08-18T06:33:06,2025-08-18,310,7,Retail,CARD,,10.99,AUD
10018,2025-08-18T17:52:52,2025-08-18,1357,24,Retail,PAYPAL,,14.94,AUD
10019,2025-08-18T22:40:46,2025-08-18,159,14,Retail,CASH,,13.58,AUD
10020,2025-08-18T03:07:51,2025-08-18,1330,47,Retail,CARD,,15.79,AUD
10021,2025-08-18T06:38:06,2025-08-18,752,53,Retail,CASH,,7.49,AUD
10022,2025-08-18T12:23:32,2025-08-18,581,46,Retail,AFTERPAY,,13.47,AUD
10023,2025-08-18T07:39:15,2025-08-18,1166,14,Retail,CASH,,12.25,AUD
10024,2025-08-18T13:23:10,2025-08-18,196,9999999998,Retail,CARD,,12.63,AUD
10025,2025-08-18T22:43:06,2025-08-18,287,24,Retail,PAYPAL,,19.88,AUD
10026,2025-08-18T19:25:54,2025-08-18,790,26,Retail,AFTERPAY,,16.89,AUD
10027,2025-08-18T02:17:41,2025-08-18,808,36,Retail,CASH,,14.29,AUD
10028,2025-08-18T02:17:39,2025-08-18,188,69,Retail,AFTERPAY,,11.32,AUD
10029,2025-08-18T17:33:08,2025-08-18,951,51,Retail,CASH,,11.78,AUD
10030,2025-08-18T18:37:11,2025-08-18,225,6,Retail,CASH,,19.24,AUD
10031,2025-08-18T16:14:25,2025-08-18,505,61,Retail,CASH,,8.37,AUD
10032,2025-08-18T01:40:22,2025-08-18,493,6,Retail,AFTERPAY,COUPON764,8.97,AUD
10033,2025-08-18T08:49:48,2025-08-18,1380,45,Retail,CASH,,10.71,AUD
10034,2025-08-18T09:11:28,2025-08-18,98,45,Retail,AFTERPAY,,7.74,AUD
10035,2025-08-18T09:18:40,2025-08-18,1362,29,Retail,CASH,,17.96,AUD
10036,2025-08-18T05:11:06,2025-08-18,1480,1,Retail,CASH,,17.45,AUD
10037,2025-08-18T09:30:13,2025-08-18,1113,10,Retail,PAYPAL,,17.44,AUD
10038,2025-08-18T10:01:02,2025-08-18,687,75,Retail,PAYPAL,,11.58,AUD
10039,2025-08-18T16:25:40,2025-08-18,1238,31,Retail,PAYPAL,,12.82,AUD
10040,2025-08-18T03:21:56,2025-08-18,1390,48,Retail,PAYPAL,,13.84,AUD
10041,2025-08-18T18:11:57,2025-08-18,594,92,Retail,PAYPAL,,11.13,AUD
10042,2025-08-18T00:20:59,2025-08-18,1146,54,Retail,CASH,,8.78,AUD
10043,2025-08-18T21:19:36,2025-08-18,575,36,Retail,AFTERPAY,,10.63,AUD
10044,2025-08-18T03:16:30,2025-08-18,1365,60,Retail,PAYPAL,,14.80,AUD
