sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T15:15:00,100,SHELF-045,25.82,40.74,3890
2025-08-02T20:41:00,100,SHELF-038,17.07,40.90,3640
2025-08-03T00:27:00,100,SHELF-039,20.33,51.30,3790
2025-08-04T04:23:00,100,SHELF-018,27.76,55.44,3832
2025-08-05T01:36:00,100,SHELF-026,17.48,53.05,3810
2025-08-06T07:56:00,100,SHELF-003,16.80,46.28,3820
2025-08-07T00:23:00,100,SHELF-047,21.34,70.50,3322
2025-08-08T15:45:00,100,SHELF-039,14.25,46.45,3818
2025-08-09T06:03:00,100,SHELF-026,26.36,53.74,3369
2025-08-10T15:58:00,100,SHELF-016,27.53,63.12,3899
2025-08-11T03:21:00,100,SHELF-030,29.13,56.11,3761
2025-08-12T09:04:00,100,SHELF-018,31.55,49.98,3827
2025-08-13T20:18:00,100,SHELF-049,22.99,60.52,3632
2025-08-14T01:59:00,100,SHELF-018,23.94,52.64,3836
2025-08-15T16:56:00,100,SHELF-002,22.69,51.26,3609
2025-08-16T00:17:00,100,SHELF-014,23.34,54.66,3709
2025-08-17T03:58:00,100,SHELF-023,27.49,59.49,3552
2025-08-18T10:52:00,100,SHELF-030,18.71,41.59,3342
2025-08-19T01:53:00,100,SHELF-041,25.41,59.80,3832
2025-08-20T02:27:00,100,SHELF-012,21.71,75.84,3663
2025-08-21T13:57:00,100,SHELF-013,21.39,57.10,3817
2025-08-22T05:36:00,100,SHELF-038,23.46,75.50,3779
2025-08-23T08:11:00,100,SHELF-027,21.77,37.01,3561
2025-08-24T21:18:00,100,SHELF-048,23.84,59.21,3572
2025-08-25T15:41:00,100,SHELF-001,26.15,55.82,3759
2025-08-26T12:58:00,100,SHELF-025,16.90,64.84,3695
2025-08-27T00:49:00,100,SHELF-017,25.61,57.33,3641
2025-08-28T09:22:00,100,SHELF-024,18.45,59.32,3654
