sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T15:42:00,50,SHELF-033,23.91,66.19,3783
2025-08-02T23:22:00,50,SHELF-011,26.67,47.28,3872
2025-08-03T04:08:00,50,SHELF-047,17.42,57.73,3892
2025-08-04T06:55:00,50,SHELF-036,18.48,46.14,3946
2025-08-05T02:10:00,50,SHELF-011,12.67,53.37,3467
2025-08-06T20:46:00,50,SHELF-046,26.47,61.31,3734
2025-08-07T11:23:00,50,SHELF-046,28.80,48.24,3807
2025-08-08T14:42:00,50,SHELF-046,19.03,50.91,3591
2025-08-09T23:10:00,50,SHELF-034,30.90,37.30,3886
2025-08-10T11:53:00,50,SHELF-041,28.73,54.05,3789
2025-08-11T03:53:00,50,SHELF-034,19.40,47.76,3651
2025-08-12T01:49:00,50,SHELF-027,17.24,61.28,3770
2025-08-13T15:08:00,50,SHELF-029,15.52,52.25,3558
2025-08-14T22:31:00,50,SHELF-024,24.39,48.11,3716
2025-08-15T13:41:00,50,SHELF-046,15.19,62.47,3706
2025-08-16T03:26:00,50,SHELF-048,21.09,50.92,4015
2025-08-17T07:54:00,50,SHELF-040,27.74,46.33,3702
2025-08-18T01:19:00,50,SHELF-040,18.84,65.09,3500
2025-08-19T10:35:00,50,SHELF-014,26.28,54.70,3976
2025-08-20T13:42:00,50,SHELF-013,14.20,65.56,4019
2025-08-21T17:33:00,50,SHELF-008,19.59,46.39,3673
2025-08-22T21:44:00,50,SHELF-008,30.73,41.45,3682
2025-08-23T19:03:00,50,SHELF-034,11.21,66.29,3645
2025-08-24T09:20:00,50,SHELF-009,19.67,44.91,3499
2025-08-25T05:19:00,50,SHELF-008,24.69,42.73,3676
2025-08-26T01:00:00,50,SHELF-046,17.55,60.03,3842
2025-08-27T04:42:00,50,SHELF-007,18.34,56.20,3854
2025-08-28T20:12:00,50,SHELF-019,27.08,51.66,3881
