sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T15:31:00,93,SHELF-029,23.62,46.96,3560
2025-08-02T22:37:00,93,SHELF-045,25.72,60.09,3792
2025-08-03T08:03:00,93,SHELF-038,24.79,85.11,3788
2025-08-04T03:17:00,93,SHELF-044,18.85,56.44,3515
2025-08-05T02:51:00,93,SHELF-011,22.31,68.19,3732
2025-08-06T08:08:00,93,SHELF-024,26.82,45.95,3997
2025-08-07T02:49:00,93,SHELF-017,30.36,56.40,3918
2025-08-08T03:27:00,93,SHELF-007,28.03,62.01,3904
2025-08-09T00:46:00,93,SHELF-024,21.07,66.37,3352
2025-08-10T09:49:00,93,SHELF-032,17.48,46.60,3694
2025-08-11T02:13:00,93,SHELF-002,26.30,70.65,3725
2025-08-12T02:26:00,93,SHELF-048,25.31,54.42,3731
2025-08-13T01:37:00,93,SHELF-018,16.98,21.94,3631
2025-08-14T23:21:00,93,SHELF-002,19.67,53.30,3615
2025-08-15T23:35:00,93,SHELF-006,27.77,54.23,3885
2025-08-16T05:37:00,93,SHELF-026,29.92,55.97,3763
2025-08-17T19:48:00,93,SHELF-038,18.76,42.72,4018
2025-08-18T19:30:00,93,SHELF-006,24.29,59.28,3475
2025-08-19T19:26:00,93,SHELF-035,26.46,39.11,3780
2025-08-20T03:13:00,93,SHELF-047,33.48,50.76,3666
2025-08-21T21:18:00,93,SHELF-030,22.12,59.01,3866
2025-08-22T11:09:00,93,SHELF-019,23.07,64.77,3791
2025-08-23T10:20:00,93,SHELF-009,29.27,50.43,3550
2025-08-24T17:09:00,93,SHELF-006,24.84,49.13,3520
2025-08-25T03:47:00,93,SHELF-040,28.22,46.69,3606
2025-08-26T23:07:00,93,SHELF-048,24.18,64.12,3490
2025-08-27T06:53:00,93,SHELF-029,25.10,54.12,3537
2025-08-28T09:33:00,93,SHELF-048,30.17,56.12,3314
