sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T13:20:00,94,SHELF-006,16.36,85.36,3598
2025-08-02T09:27:00,94,SHELF-021,21.89,60.01,3786
2025-08-03T09:43:00,94,SHELF-033,12.95,69.41,3601
2025-08-04T01:05:00,94,SHELF-032,22.78,47.65,3696
2025-08-05T09:06:00,94,SHELF-048,27.23,56.04,3541
2025-08-06T19:03:00,94,SHELF-017,17.71,42.83,3587
2025-08-07T05:14:00,94,SHELF-040,16.23,45.02,3718
2025-08-08T13:20:00,94,SHELF-034,18.07,70.22,3559
2025-08-09T08:56:00,94,SHELF-038,19.18,60.19,3706
2025-08-10T04:26:00,94,SHELF-010,25.15,50.82,3712
2025-08-11T13:28:00,94,SHELF-015,25.39,54.70,3560
2025-08-12T17:50:00,94,SHELF-005,19.94,42.16,3826
2025-08-13T16:49:00,94,SHELF-042,26.20,54.42,3540
2025-08-14T15:39:00,94,SHELF-021,21.88,59.87,3623
2025-08-15T16:31:00,94,SHELF-033,23.53,49.68,3469
2025-08-16T07:52:00,94,SHELF-001,23.70,33.62,3802
2025-08-17T12:20:00,94,SHELF-001,29.04,61.52,3652
2025-08-18T10:36:00,94,SHELF-041,26.45,63.09,3826
2025-08-19T01:14:00,94,SHELF-017,17.85,59.00,3884
2025-08-20T07:25:00,94,SHELF-026,25.87,64.69,3771
2025-08-21T05:17:00,94,SHELF-020,25.52,57.08,3563
2025-08-22T15:20:00,94,SHELF-018,14.92,51.25,3942
2025-08-23T06:16:00,94,SHELF-026,20.71,68.60,3541
2025-08-24T07:02:00,94,SHELF-017,20.13,58.41,3614
2025-08-25T09:09:00,94,SHELF-046,15.44,55.22,3539
2025-08-26T20:10:00,94,SHELF-037,17.43,58.29,3766
2025-08-27T18:39:00,94,SHELF-032,16.86,75.23,3513
2025-08-28T13:07:00,94,SHELF-050,21.71,35.74,3459
