sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-08-01T16:52:00,52,SHELF-030,11.04,64.68,3748
2025-08-02T06:54:00,52,SHELF-047,24.19,39.68,3719
2025-08-03T08:01:00,52,SHELF-025,22.53,46.39,3615
2025-08-04T17:09:00,52,SHELF-050,21.75,52.93,3682
2025-08-05T12:19:00,52,SHELF-048,18.25,50.32,3741
2025-08-06T10:24:00,52,SHELF-043,22.06,65.68,3632
2025-08-07T17:34:00,52,SHELF-040,15.49,54.58,3864
2025-08-08T18:55:00,52,SHELF-046,25.10,19.80,3470
2025-08-09T14:39:00,52,SHELF-048,27.92,68.43,3627
2025-08-10T22:26:00,52,SHELF-037,18.69,56.35,3669
2025-08-11T07:09:00,52,SHELF-006,21.28,49.70,3651
2025-08-12T00:02:00,52,SHELF-031,19.11,61.56,3636
2025-08-13T18:31:00,52,SHELF-011,21.44,50.23,3759
2025-08-14T21:20:00,52,SHELF-035,19.00,66.84,3751
2025-08-15T19:10:00,52,SHELF-048,19.39,58.60,3661
2025-08-16T21:41:00,52,SHELF-022,28.98,46.82,3833
2025-08-17T05:48:00,52,SHELF-030,16.84,41.75,3711
2025-08-18T10:04:00,52,SHELF-017,22.64,35.75,3597
2025-08-19T08:56:00,52,SHELF-049,28.43,67.27,3601
2025-08-20T18:22:00,52,SHELF-014,21.93,49.62,3597
2025-08-21T04:14:00,52,SHELF-001,30.83,39.44,3614
2025-08-22T14:32:00,52,SHELF-036,14.63,34.08,3703
2025-08-23T03:59:00,52,SHELF-017,27.06,40.92,3556
2025-08-24T18:44:00,52,SHELF-042,18.00,52.82,3701
2025-08-25T03:39:00,52,SHELF-039,18.11,39.95,3626
2025-08-26T15:52:00,52,SHELF-017,25.81,58.70,3639
2025-08-27T20:20:00,52,SHELF-047,28.28,51.73,3775
2025-08-28T00:33:00,52,SHELF-003,19.53,37.69,3695
