order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
1819,2025-08-09T21:03:13,2025-08-09,1242,36,Retail,PAYPAL,,14.17,AUD
1820,2025-08-09T20:45:10,2025-08-09,86,61,Retail,AFTERPAY,COUPON862,4.35,AUD
1821,2025-08-09T16:14:28,2025-08-09,675,58,Retail,CARD,,7.94,AUD
1822,2025-08-09T23:53:51,2025-08-09,1494,39,Retail,PAYPAL,,12.15,AUD
1823,2025-08-09T14:07:53,2025-08-09,404,92,Retail,CARD,,17.70,AUD
1824,2025-08-09T04:06:44,2025-08-09,1521,18,Retail,CASH,,10.75,AUD
1825,2025-08-09T07:47:49,2025-08-09,1249,21,Retail,AFTERPAY,,17.42,AUD
1826,2025-08-09T21:53:45,2025-08-09,1369,21,Retail,AFTERPAY,,19.60,AUD
1827,2025-08-09T23:39:04,2025-08-09,750,35,Retail,CASH,,10.14,AUD
1828,2025-08-09T13:52:52,2025-08-09,1321,61,Retail,PAYPAL,COUPON904,11.32,AUD
1829,2025-08-09T01:22:45,2025-08-09,74,50,Retail,CARD,COUPON473,11.81,AUD
1830,2025-08-09T00:46:00,2025-08-09,361,94,Retail,AFTERPAY,,7.91,AUD
1831,2025-08-09T05:20:28,2025-08-09,349,97,Retail,CASH,,8.58,AUD
1832,2025-08-09T01:18:29,2025-08-09,1044,70,Retail,CASH,,8.18,AUD
1833,2025-08-09T23:08:05,2025-08-09,704,42,Retail,PAYPAL,,14.94,AUD
1834,2025-08-09T22:17:20,2025-08-09,1398,82,Retail,PAYPAL,,16.95,AUD
1835,2025-08-09T05:39:42,2025-08-09,953,94,Retail,CARD,,9.84,AUD
1836,2025-08-09T04:06:57,2025-08-09,791,92,Retail,AFTERPAY,,7.28,AUD
1837,2025-08-09T06:13:19,2025-08-09,1120,57,Retail,CARD,,9.39,AUD
1838,2025-08-09T12:07:03,2025-08-09,625,88,Retail,AFTERPAY,,11.93,AUD
1839,2025-08-09T17:03:36,2025-08-09,555,6,Retail,CASH,COUPON955,12.17,AUD
1840,2025-08-09T16:51:56,2025-08-09,1271,94,Retail,CARD,,12.86,AUD
1841,2025-08-09T02:07:03,2025-08-09,1469,64,Retail,CARD,,19.58,AUD
1842,2025-08-09T08:53:53,2025-08-09,629,68,Retail,CASH,,15.33,AUD
1843,2025-08-09T20:20:06,2025-08-09,262,22,Retail,CASH,,19.44,AUD
1844,2025-08-09T20:37:12,2025-08-09,423,86,Retail,PAYPAL,COUPON361,16.91,AUD
1845,2025-08-09T09:22:59,2025-08-09,1407,40,Retail,PAYPAL,,2.13,AUD
1846,2025-08-09T03:05:10,2025-08-09,328,34,Retail,AFTERPAY,,6.88,AUD
1847,2025-08-09T19:17:09,2025-08-09,152,32,Retail,CARD,,16.46,AUD
1848,2025-08-09T18:30:36,2025-08-09,104,81,Retail,PAYPAL,COUPON263,0.00,AUD
1849,2025-08-09T06:26:02,2025-08-09,556,88,Retail,CARD,,20.25,AUD
1850,2025-08-09T14:08:39,2025-08-09,56,85,Retail,PAYPAL,,12.27,AUD
1851,2025-08-09T03:09:44,2025-08-09,1401,35,Retail,AFTERPAY,,10.98,AUD
1852,2025-08-09T01:02:11,2025-08-09,1262,9,Retail,PAYPAL,,25.67,AUD
1853,2025-08-09T19:14:42,2025-08-09,627,55,Retail,CASH,COUPON159,10.17,AUD
1854,2025-08-09T09:13:39,2025-08-09,1179,52,Retail,CASH,,14.80,AUD
1855,2025-08-09T12:56:06,2025-08-09,677,9999999998,Retail,PAYPAL,,8.32,AUD
1856,2025-08-09T14:52:33,2025-08-09,912,95,Retail,AFTERPAY,,8.07,AUD
1857,2025-08-09T03:20:22,2025-08-09,368,45,Retail,CARD,,2.07,AUD
1858,2025-08-09T15:23:07,2025-08-09,99,9999999998,Retail,PAYPAL,,13.24,AUD
1859,2025-08-09T11:43:54,2025-08-09,1051,13,Retail,CASH,COUPON184,9.36,AUD
1860,2025-08-09T11:21:53,2025-08-09,1216,6,Retail,PAYPAL,,20.05,AUD
1861,2025-08-09T12:49:55,2025-08-09,338,16,Retail,CASH,,13.56,AUD
1862,2025-08-09T01:41:12,2025-08-09,1222,58,Retail,PAYPAL,,0.15,AUD
1863,2025-08-09T18:35:01,2025-08-09,208,59,Retail,AFTERPAY,COUPON204,19.15,AUD
1864,2025-08-09T06:09:31,2025-08-09,1178,3,Retail,CARD,,12.66,AUD
1865,2025-08-09T21:34:22,2025-08-09,588,2,Retail,CARD,,14.18,AUD
1866,2025-08-09T09:13:46,2025-08-09,1520,86,Retail,CARD,,18.58,AUD
1867,2025-08-09T16:22:19,2025-08-09,1299,25,Retail,AFTERPAY,,8.47,AUD
1868,2025-08-09T22:45:37,2025-08-09,343,61,Retail,PAYPAL,,3.63,AUD
1869,2025-08-09T17:08:51,2025-08-09,1255,78,Retail,CASH,,20.96,AUD
1870,2025-08-09T04:03:17,2025-08-09,1162,22,Retail,CASH,,14.32,AUD
1871,2025-08-09T14:24:16,2025-08-09,80,20,Retail,AFTERPAY,,17.73,AUD
1872,2025-08-09T05:05:40,2025-08-09,804,52,Retail,AFTERPAY,,16.15,AUD
1873,2025-08-09T15:02:28,2025-08-09,1156,5,Retail,AFTERPAY,,13.86,AUD
1874,2025-08-09T23:32:42,2025-08-09,1199,74,Retail,PAYPAL,COUPON862,14.24,AUD
1875,2025-08-09T09:29:35,2025-08-09,1223,33,Retail,AFTERPAY,,20.74,AUD
1876,2025-08-09T12:19:18,2025-08-09,1574,64,Retail,AFTERPAY,COUPON480,13.53,AUD
1877,2025-08-09T21:51:54,2025-08-09,479,29,Retail,CARD,,10.86,AUD
1878,2025-08-09T05:22:43,2025-08-09,583,56,Retail,CARD,,12.39,AUD
1879,2025-08-09T07:17:58,2025-08-09,1044,51,Retail,AFTERPAY,,11.27,AUD
1880,2025-08-09T17:52:48,2025-08-09,203,60,Retail,PAYPAL,,19.38,AUD
1881,2025-08-09T02:59:21,2025-08-09,29,79,Retail,AFTERPAY,,13.14,AUD
1882,2025-08-09T20:33:14,2025-08-09,1027,57,Retail,AFTERPAY,,16.35,AUD
1883,2025-08-09T13:11:27,2025-08-09,627,34,Retail,AFTERPAY,,17.36,AUD
1884,2025-08-09T14:53:15,2025-08-09,1543,22,Retail,AFTERPAY,,1.77,AUD
1885,2025-08-09T14:22:47,2025-08-09,108,14,Retail,AFTERPAY,,6.92,AUD
1886,2025-08-09T04:50:39,2025-08-09,280,76,Retail,CARD,,12.95,AUD
